"Ingredient_subcode","Ingredient_description","Ingredient_weight_g","entry","food_V2_ID","foodb_id","orig_food_id","orig_food_common_name"
21142,"fast biscuit",100,"60",2331,275,21317,"mcdonald's biscuit regular size"
5672,"chicken broilers fryers dark meat thigh meat only cooked braised",100,"61",9016,334,NA,"chicken flesh only raw"
16139,"soymilk original vanilla with added calcium vitamins a d",30,"62",7396,761,16139,"soymilk original vanilla with added calcium vitamins a d"
7919,"sausage turkey breakfast links mild raw",100,"63",5638,671,7919,"sausage turkey breakfast links mild"
14034,"alcoholic beverage creme de menthe 72 proof",100,"64",4670,630,14034,"alcoholic beverage creme de menthe 72 proof"
14411,"beverages water tap drinking",120,"65",5741,685,14411,"water tap drinking"
11313,"peas green frozen cooked boiled drained without salt",5,"66",1165,141,11313,"peas green frozen cooked boiled drained without salt"
23572,"beef ground 80 lean meat / 20 fat raw",32,"67",3744,506,23572,"beef ground 80 lean meat / 20 fat raw"
12078,"nuts brazilnuts dried unblanched",7,"68",355,24,12078,"nuts brazilnuts dried unblanched"
9210,"orange juice chilled includes from concentrate with added calcium vitamin d",35,"69",602,57,9210,"orange juice chilled includes from concentrate fortified with calcium vitamin d"
11215,"garlic raw",9,"70",247,8,89,"garlic raw"
1040,"cheese swiss",10,"71",4770,631,1040,"cheese swiss"
11252,"lettuce iceberg includes crisphead types raw",50,"72",859,95,11252,"lettuce iceberg includes crisphead types raw"
11467,"squash summer crookneck straightneck raw",50,"73",665,66,11467,"squash summer crookneck straightneck raw"
11209,"eggplant raw",100,"74",1400,174,11209,"eggplant raw"
2047,"salt table iodized",0.6,"75",9435,666,NA,"salt table iodized"
10141,"pork cured ham center slice country style separable lean only raw",56.7,"76",4212,549,10141,"pork cured ham center slice country style separable lean only raw"
19260,"ice creams vanilla light no sugar added",50,"77",4947,641,19260,"ice creams vanilla light no sugar added"
4613,"margarine like vegetable oil spread 60 fat tub with salt",65,"78",8301,873,4613,"margarine like vegetable oil spread 60 fat tub with salt"
16015,"beans black mature seeds cooked boiled without salt",100,"79",1076,134,16015,"beans black mature seeds cooked boiled without salt"
1049,"cream fluid half half",25,"80",5503,669,1049,"cream fluid half half"
11569,"turnip greens cooked boiled drained without salt",100,"81",448,36,11569,"turnip greens cooked boiled drained without salt"
5073,"chicken broilers fryers dark meat drumstick meat only cooked roasted",100,"82",9016,334,NA,"chicken flesh only raw"
